"accountName","viewID","accountId","webPropertyId","internalWebPropertyId","viewName","timezone","websiteUrl","siteSearchQueryParameters","stripSiteSearchQueryParameters","created","updated","botFilteringEnabled"
"USGS-R","89827866","53797708","UA-53797708-4","86568263","All Web Site Data","America/Chicago","http://usgs-r.github.io",NA,NA,2014-08-13 16:36:22,2014-08-13 16:36:22,NA
"USGS-R","98740675","53797708","UA-53797708-5","94745748","All Web Site Data","America/Chicago","http://owi.usgs.gov/R",NA,NA,2015-03-03 15:01:25,2015-03-03 15:01:25,NA
"GCMRC Sandbar","90116058","54006197","UA-54006197-1","86834664","All Web Site Data","America/Los_Angeles","http://cida.usgs.gov/gcmrc/sandbar/home/",NA,NA,2014-08-20 15:32:38,2014-08-20 15:32:38,NA
"CIDA drought app","94771699","57400827","UA-57400827-1","91087966","All Web Site Data","America/Chicago","http://cida.usgs.gov/ca_drought",NA,NA,2014-12-05 22:25:23,2014-12-05 22:25:23,NA
"Tracking Water Quality","96707428","58841817","UA-58841817-1","92876528","All Web Site Data","America/Los_Angeles","http://cida-test.er.usgs.gov/nawqareports/home",NA,NA,2015-01-22 02:09:35,2015-01-22 02:09:35,NA
"NAWQA Annual Reports","105752467","65551512","UA-65551512-1","101784549","All Web Site Data","America/Chicago","http://cida.usgs.gov/quality/rivers/sites",NA,NA,2015-07-23 18:21:45,2015-07-23 18:23:56,TRUE
"NAWQA Annual Reports","105752773","65551512","UA-65551512-1","101784549","NAR Website Excluding Internal Traffic","America/Chicago","http://cida.usgs.gov/quality/rivers/sites",NA,NA,2015-07-23 18:37:58,2015-10-27 14:22:10,TRUE
"National Soil Moisture Network","106021339","65742231","UA-65742231-1","102024536","All Web Site Data","America/Chicago","http://cida.usgs.gov/nsmn_pilot/",NA,NA,2015-07-29 16:44:58,2015-07-29 16:44:58,NA
"OWDI Drought Vizzy","106583560","66155743","UA-66155743-1","102550529","All Web Site Data","America/Chicago","https://cida-test.er.usgs.gov/bluedragon/dev/",NA,NA,2015-08-10 18:07:11,2015-08-10 18:07:11,NA
"OWI Website","119859676","76112553","UA-76112553-1","114685767","All Web Site Data","America/Chicago","http://owi.usgs.gov",NA,NA,2016-04-07 15:47:18,2016-04-07 15:47:18,NA
"Vizlab","122971190","78530187","UA-78530187-1","117580756","All Web Site Data","America/Chicago","http://owi.usgs.gov/vizlab",NA,NA,2016-05-31 18:35:09,2016-05-31 18:35:09,NA
"Vizlab","129299951","78530187","UA-78530187-2","124964749","All Web Site Data","America/Chicago","https://owi.usgs.gov/vizlab/climate-change-walleye-bass/",NA,NA,2016-09-07 15:12:34,2016-09-07 15:12:34,NA
"Vizlab","129289964","78530187","UA-78530187-3","124954360","All Web Site Data","America/Chicago","https://owi.usgs.gov/vizlab/microplastics/",NA,NA,2016-09-07 15:31:50,2016-09-07 15:31:50,NA
"Vizlab","131371952","78530187","UA-78530187-4","127687029","All Web Site Data","America/Chicago","https://owi.usgs.gov/vizlab/hurricane-matthew",NA,NA,2016-10-11 18:39:31,2016-10-11 18:39:31,NA
"Vizlab","135016013","78530187","UA-78530187-5","131088296","All Web Site Data","America/Chicago","https://owi.usgs.gov/vizlab/water-use",NA,NA,2016-11-30 22:55:49,2017-01-11 00:14:54,TRUE
"EnDDaT","124403435","79713582","UA-79713582-1","118926018","All Web Site Data","America/Chicago","http://cida-test.er.usgs.gov/enddat/",NA,NA,2016-06-22 14:39:43,2016-06-22 14:39:43,NA
